isbn13,title,format,cost,product_url,category_path,sell_price,status,score,listed_at,sold_at,delisted_at,delist_reason,checked_at,offer_id,description,relisted_at,sales_count,protected
9781119337249,Blackwell’s Five-Minute Veterinary: Small Animal...,Paperback,79.99,https://www.booksgoat.com/index.php?route=product/product&path=315&product_id=431879,315,103.99,active,,,,,,2026-05-02T07:00:05.561732,156502355011,Blackwell's Five-Minute Veterinary Consult for Small Animal covers quick clinical reference information and diagnostic guidance for veterinary professionals and students. This edition includes evidence-based protocols organized for rapid lookup during patient examinations. ISBN 9781119337249.,2026-04-25T16:15:01Z,0,false
9781416412267,"An Advanced Review of Speech–Language Pathology,...",Paperback,89.99,https://www.booksgoat.com/advanced-review-of-speech-language-pathology-6th-edition-9781416412267,315,116.99,active,,,,,,2026-05-02T07:00:05.561732,156582469011,An Advanced Review of Speech–Language Pathology is designed for graduate students and professionals preparing for board certification exams in the field. This edition features hundreds of practice questions with detailed answer explanations to strengthen clinical knowledge and test-taking skills. Ideal for anyone seeking to validate expertise in speech-language pathology.,,0,false
9780199329007,Gardner and Sutherland’s Chromosome Abnormalitie...,Paperback,79.99,https://www.booksgoat.com/index.php?route=product/product&path=315&product_id=432773,315,103.99,active,,2026-04-20T08:31:26.257788,,,,2026-05-02T07:00:05.561732,156582510011,"This textbook provides medical students and genetics professionals with detailed coverage of chromosomal abnormalities, their clinical manifestations, and diagnostic approaches. The ninth edition includes updated cytogenetic methodologies and contemporary case studies that reflect current clinical practice. Ideal for those seeking in-depth understanding of genetic disorders and laboratory diagnosis.",2026-04-25T21:12:22Z,0,false
9780813349039,"Understanding Architecture: Its Elements, History,...",Paperback,59.99,https://www.booksgoat.com/understanding-architecture-3rd-edition-9780813349039,315,77.99,active,,2026-04-20T08:31:37.423012,,,,2026-05-02T07:00:05.561732,156582532011,"Understanding Architecture: Its Elements, History, and Meaning explores architectural design, history, and theory for students and professionals seeking foundational knowledge. This ISBN 9780813349039 edition includes detailed illustrations and diagrams that clarify architectural concepts and styles across periods. The book combines theoretical frameworks with visual examples to support both academic study and professional reference.",2026-04-25T21:12:22Z,0,false
9781138071711,HVAC Water Chillers and Cooling Towers: Fundamenta...,Paperback,59.99,https://www.booksgoat.com/hvac-water-chillers-and-cooling-towers-2nd-edition-9781138071711,315,77.99,active,,2026-04-20T08:31:44.203085,,,,2026-05-02T07:00:05.561732,156582551011,"This textbook provides HVAC professionals and students with fundamental knowledge of water chillers and cooling tower systems, covering design principles, operation, and maintenance. The book includes detailed technical diagrams and real-world applications to support practical understanding of these critical cooling components.",2026-04-25T21:12:22Z,0,false
9781506323756,Introduction to Clinical Mental Health Counseling:...,Paperback,59.99,https://www.booksgoat.com/clinical-mental-health-counseling-watson-schmit,315,77.99,active,,,,,,2026-05-02T07:00:05.561732,156582569011,"Introduction to Clinical Mental Health Counseling (ISBN: 9781506323756) provides foundational knowledge in counseling theories, techniques, and practice for students and early-career mental health professionals. This text includes case studies and practical applications throughout to bridge classroom learning with real-world clinical scenarios.",2026-04-25T21:12:22Z,0,false
9780890425763,DSM-5-TR: Diagnostic and Statistical Manual of Men...,Paperback,89.99,https://www.booksgoat.com/dsm-5-tr-manual-5th-apa-mental-health,315,116.99,active,,2026-04-20T08:31:51.423771,,,,2026-05-02T07:00:05.561732,156582586011,"The DSM-5-TR provides diagnostic criteria and clinical guidance for mental health and substance use disorders, serving clinicians, researchers, and mental health professionals. This text-revised edition includes updated diagnostic information and cultural considerations to reflect current clinical practice. ISBN 9780890425763.",2026-04-25T21:12:22Z,0,false
9781938936647,2015 Uniform Plumbing Code (ISBN 9781938936647) - ...,Paperback,69.99,https://www.booksgoat.com/2015-uniform-plumbing-code-9781938936647,315,90.99,active,,,,,,2026-05-02T07:00:05.561732,156582610011,"This 2015 Uniform Plumbing Code (ISBN 9781938936647) is designed for plumbing professionals, inspectors, and contractors who need to understand current code requirements and standards. The book includes the full text of the 2015 code with detailed illustrations and interpretations to help users apply regulations correctly.",2026-04-25T21:12:22Z,0,false
9781119662556,"Laboratory Manual for Anatomy and Physiology, 7th ...",Paperback,64.99,https://www.booksgoat.com/laboratory-manual-for-anatomy-and-physiology-7th-edition-9781119662556,315,84.49,active,,2026-04-20T08:31:58.203176,,,,2026-05-02T07:00:05.561732,156582627011,"Laboratory Manual for Anatomy and Physiology, 7th Edition (ISBN 9781119662556) provides hands-on exercises and experiments designed for students studying human body systems in anatomy and physiology courses. This edition includes updated illustrations and revised lab procedures to support contemporary teaching methods. Ideal for undergraduate biology and health sciences programs.",2026-04-25T21:12:22Z,0,false
9781265620424,"Site Planning and Design Handbook by Thomas Russ, ...",Paperback,69.99,https://www.booksgoat.com/site-planning-and-design-handbook-2nd-edition-9781265620424,315,90.99,active,,,,,,2026-05-02T07:00:05.561732,156582649011,"This textbook covers site planning and design principles for students and professionals in architecture, landscape architecture, and urban planning. It includes detailed illustrations, case studies, and practical applications to help readers understand real-world design scenarios. The ninth edition reflects current industry standards and contemporary planning approaches.",,0,false
